character,dialogue
Tony," I feel like you're driving me to a court-martial. This is crazy. What did I do? I feel like you're going to pull over and snuff me. What, you're not allowed to talk? Hey, Forrest!"
Tony," Oh, I see. So it's personal?"
Tony," Good God, you're a woman. I honestly... I couldn't have called that. I mean, I'd apologize, but isn't that what we're going for here? I thought of you as a soldier first."
Tony," Well you have, actually, excellent bone structure, there. I'm kind of having a hard time not looking at you now. Is that weird?  Come on, it's okay, laugh."
Tony," Yes, please."
Tony," That is an excellent question. Yes and no. March and I had a scheduling conflict, but fortunately, the Christmas cover was twins. Anything else?  You're kidding me with the hand up, right?"
Tony," Yes. It's very cool.  I don't want to see this on your MySpace page.  Please, no gang signs. No, throw it up. I'm kidding. Yeah, peace. I love peace. I'd be out of a job with peace."
Tony, What's going on?
Tony, What have we got?
Tony, Yeah.
Tony," Wait, wait, wait, wait, wait! Give me a gun!"
Tony, Whoa!
Tony, Work it! Come on! We should just stay till the morning.
Tony," Oh, no! Did they rope you into this?"
Tony, I'm so sorry.
Tony," Of course I'd be deeply honored. And it's you, that's great. So, when do we do it?"
Tony, There it is. That was easy. I'm so sorry.
Tony," Wow! Would you look at that? That's something else. I don't have any of those floating around. Uh, we're gonna let it ride! Give me a hand, will you? Give me a little something-something.  Okay, you, too. "
Tony," Come on, honey bear."
Tony, There it is. Lieutenant Colonel Rhodes rolls! And...
Tony," Worse things have happened. I think we're gonna be fine. Color me up, will ya?"
Tony, All right.
Tony," Yeah, you can count on it."
Tony," I know, I know.  Render unto Caesar, that which is Caesar's. There you go."
Tony, She's all right?  Hi.
Tony, Yeah. Okay--
Tony, Go.
Tony, Absolutely ridiculous. I don't paint.
Tony, That's not bad. Let me guess. Berkeley?
Tony," Well, Ms. Brown. It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals."
Tony, Every night in front of the mirror before bedtime.
Tony, I'd like to show you first-hand.
Tony," Okay, here's serious. My old man had a philosophy, ""Peace means having a bigger stick than the other guy."""
Tony," My father helped defeat the Nazis. He worked on the Manhattan Project. A lot of people, including your professors at Brown, would call that being a hero."
Tony," Tell me, do you plan to report on the millions we've saved by advancing medical technology or kept from starvation with our intelli-crops? All those breakthroughs, military funding, honey."
Tony, I'd be prepared to lose a few with you.
Tony, Give me an exploded view.
Tony, Log that.
Tony, Please don't turn down my music.
Tony, How'd she take it?
Tony, Why are you trying to hustle me out of here?
Tony," That's funny, I thought with it being my plane and all, that it would just wait for me to get there."
Tony," I mean, doesn't it kind of defeat the whole purpose of having your own plane if it departs before you arrive?"
Tony, Is it a good representation of his spring period?
Tony, So?
Tony, I need it. Buy it. Store it.
Tony," Is in June. Please, don't harangue me about stuff that's way, way, down..."
Tony, Deflect it and absorb it. Don't transmit it back to me.
Tony," What are you trying to get rid of me for? What, you got plans?"
Tony, I don't like it when you have plans.
Tony, It's your birthday?
Tony, I knew that. Already?
Tony," Well, get yourself something nice from me."
Tony, And?
Tony, Yeah.
Tony," You're welcome, Miss Potts... Okay."
Tony, You're good. I thought I lost you back there.
Tony, I got you. I got you.
Tony, What?
Tony, I got caught doing a piece for Vanity Fair.
Tony, Waiting on you now. Let's go. Come on. Wheels up! Rock and roll!
Tony," What you reading, platypus?"
Tony," Come on, sour patch."
Tony, Don't be mad.
Tony, I said I was sorry.
Tony, I told you I was sorry.
Tony," Hi. I told him I was sorry, but he..."
Tony, I respect you.
Tony," Hey! Heat up the sake, will you? Thanks for reminding me."
Tony, You can't have sashimi without sake.
Tony, It would be irresponsible not to drink. I'm just talking about a nightcap.
Tony," Yes, two, please."
Tony," Hey, you know what? I'm not like you. I'm not cut out..."
Tony, Can you excuse me if I'm a bit distracted here?
Tony, General.
Tony, Thanks.
Tony," Is it better to be feared or respected? I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries' Freedom Line. It's the first missile system to incorporate our proprietary repulsor technology. They say the best weapon is one you never have to fire. I respectfully disagree. I prefer the weapon you only have to fire once. That's how Dad did it. That's how America does it. And it's worked out pretty well so far. Find an excuse to let one of these off the chain, and I personally guarantee you the bad guys won't even want to come out of their caves.  For your consideration, the Jericho."
Tony,I'll be throwing one of these in with every purchase of 500 million or more. To peace!
Tony," Obie, what are you doing up?"
Tony, It went great. Looks like it's gonna be an early Christmas.
Tony, Why aren't you wearing those pajamas I got you?
Tony," I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."
Tony, See you back at base.
Tony, What the hell did you do to me?
Tony, What is this?
Tony, I don't remember.
Tony, Where are we?
Tony, Those are my guns. How did they get my guns?
Tony, I refuse.
Tony, I think you got a lot of my weapons.
Tony," No, he won't."
Tony," Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week."
Tony,"If this is going to be my work station, I want it well-lit. I want these up. I need welding gear. I don't care if it's acetylene or propane. I need a soldering station. I need helmets. I'm gonna need goggles. I would like a smelting cup. I need two sets of precision tools. How many languages do you speak?"
Tony, Who are these people?
Tony," Uh-huh. Okay, we don't need this."
Tony," That's palladium, 0.15 grams. We need at least 1.6, so why don't you go break down the other 11?"
Tony," Careful. Careful, we only get one shot at this."
Tony, What do I call you?
Tony, Yinsen. Nice to meet you.
Tony, That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.
Tony," If my math is right, and it always is, three gigajoules per second."
Tony, Yeah. Or something big for 15 minutes.
Tony,This is our ticket out of here.
Tony, Flatten them out and look.
Tony, You still haven't told me where you're from.
Tony, Got a family?
Tony, No.
Tony, What does he want?
Tony, What do you want? A delivery date? I need him. Good assistant.
Tony," 41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."
Tony, Say something. Say something back to him.
Tony, Then speak Hungarian.
Tony, What do you know?
Tony, How'd that work?
Tony, That's what I do.
Tony, Initialize the power sequence.
Tony, Now!
Tony, Function 11. Tell me when you see a progress bar. It should be up right now.
Tony, Talk to me. Tell me when you see it.
Tony," Press Control ""l""."
Tony," ""I."" ""Enter."""
Tony," ""l"" and ""Enter."" Come over here and button me up."
Tony, Every other hex bolt.
Tony," Nothing pretty, just get it done. Just get it done."
Tony," Make sure the checkpoints are clear before you follow me out, okay?"
Tony, Stick to the plan! Stick to the plan!  Yinsen! Yinsen!
Tony, Yinsen!
Tony," Come on. We got to go. Move for me, come on. We got a plan. We're gonna stick to it."
Tony," Come on, you're gonna go see your family. Get up."
Tony, Thank you for saving me.
Tony, My turn. Not bad.
Tony, Hey! Hey!
Tony, Are you kidding me with this? Get rid of them. Your eyes are red. A few tears for your long-lost boss?
Tony," Yeah, vacation's over."
Tony, No.
Tony, No is a complete answer.
Tony," I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other"
Tony, ...is not what you think. I want you to call for a press conference now.
Tony, Yeah.
Tony," Hogan, drive. Cheeseburger first."
Tony," No, I'm fine."
Tony," Well, come on."
Tony, There's only one left. I need it.
Tony," Hey, would it be all right if everyone sat down? Why don't you just sit down? That way you can see me, and I can... A little less formal and"
Tony, Good to see you.
Tony," I never got to say goodbye to Dad. I never got to say goodbye to my father. There's questions that I would have asked him. I would have asked him how he felt about what this company did. If he was conflicted, if he ever had doubts. Or maybe he was every inch the man we all remember from the newsreels. I saw young Americans killed by the very weapons I created to defend them and protect them. And I saw that I had become part of a system that is comfortable with zero accountability."
Tony," Hey, Ben."
Tony," I had my eyes opened. I came to realize that I have more to offer this world than just making things that blow up. And that is why, effective immediately, I am shutting down the weapons manufacturing division of Stark International  until such a time as I can decide what the future of the company will be."
Tony," What direction it should take, one that I'm comfortable with and is consistent with the highest good for this country, as well. "
Tony, Did I just paint a target on the back of my head?
Tony," Uh, optimistically, 40 points."
Tony, Yep.
Tony," Obie, I just don't want a body count to be our only legacy."
Tony, It's my name on the side of the building.
Tony, Not based on what I saw. We're not doing a good enough job. We can do better. We're gonna do something else.
Tony, I think we should take another look into arc reactor technology.
Tony, It works.
Tony, Maybe.
Tony," That's what they say. Could you have a lousier poker face? Just tell me, who told you?"
Tony, It's Rhodey or Pepper.
Tony," Okay, Rhodey. "
Tony, Okay? It works.
Tony," I'm sorry I didn't give you a heads-up, okay? But if I had..."
Tony, That was Dad's line.
Tony,  Pepper. How big are your hands?
Tony, How big are your hands?
Tony," Get down here. I need you.  Hey. Let's see them. Show me your hands. Let's see them.  Oh, wow. They are small. Very petite, indeed. I just uh.. need your help for a sec."
Tony," It was. It is now an antique. This is what will be keeping me alive for the foreseeable future. I'm swapping it up for an upgraded unit, and I just ran into a little speed bump."
Tony, It's nothing. It's just a little snag. There's an exposed wire under this device. And it's contacting the socket wall and causing a little bit of a short. It's fine. 
Tony, Put that on the table over there. That is irrelevant.
Tony," I want you to reach in, and you're just gonna gently lift the wire out."
Tony," Yeah, it should be fine. It's like Operation. You just don't let it touch the socket wall or it goes ""beep."""
Tony," It's just a game, never mind. Just gently lift the wire."
Tony, Okay? Great.
Tony," No, you're fine. You're the most capable, qualified, trustworthy person I've ever met. You're gonna do great. Is it too much of a problem to ask? 'Cause I'm..."
Tony, I really need your help here.
Tony," It's not pus. It's an inorganic plasmic discharge from the device, not from my body."
Tony," Yeah, it does. The copper wire. The copper wire, you got it?"
Tony," Okay, you got it? Now, don't let it touch  the sides when you're coming out!"
Tony," That's what I was trying to tell you before. Okay, now make sure that when you pull it out, that you don't...  There's a magnet at the end of it! That was it. You just pulled it out."
Tony," Okay, I was not expecting..."
Tony, Don't put it back in! Don't put it back in!
Tony," Nothing, I'm just going into cardiac arrest--"
Tony, 'cause you yanked it out like a trout... We gotta hurry. Take this. Take this. You gotta switch it out really quick.
Tony, What?
Tony, Is it?
Tony," Let's hope. Okay, you're gonna attach that to the base plate. Make s-sure you...  Was that so hard? That was fun, right? Here, I got it. I got it. Here. Nice."
Tony," Yeah, I feel great. You okay?"
Tony, I don't have anyone but you. Anyway... 
Tony, That? Destroy it. Incinerate it.
Tony," Pepper, I've been called many things. ""Nostalgic"" is not one of them."
Tony," That will be all, Miss Potts.  Hey, Butterfingers, come here. What's all this stuff doing on top of my desk? That's my phone, that's a picture of me and my dad. Right there. In the garbage. All that stuff."
Tony, Colonel? Why not a pilot without the plane?
Tony," Speaking of manned or unmanned, you gotta get him to tell you about the time he guessed wrong at spring break. Just remember that, spring break, 1987. That lovely lady you woke up with."
Tony, What was his name?
Tony, Was it Ivan?
Tony, Okay.
Tony, Okay.
Tony, Pleasure meeting you.
Tony, Why?
Tony, I'm doing a little better than walking.
Tony," Yeah. Rhodey, I'm working on something big. I came to talk to you. I want you to be a part of it."
Tony, This is not for the military. I'm not... It's different.
Tony, I need you to listen to me.
Tony, Okay.
Tony, Thanks.
Tony," JARVIS, you up?"
Tony," I'd like to open a new project file, index as Mark Two."
Tony," Actually, I don't know who to trust right now. Till further notice, why don't we just keep everything on my private server?"
Tony," I don't want this winding up in the wrong hands. Maybe in mine, it can actually do some good."
Tony," Next. Up. Not in the boot, Dummy. Right here. You got me? Stay put. Nice. You're of no benefit at all. Move down to the toe. I got this. Okay, I'm sorry, am I in your way? Up. Screw it. Don't even move. You are a tragedy."
Tony," Okay, let's do this right. Start mark, half a meter, and back and center. Dummy, look alive. You're on standby for fire safety. You, roll it. Okay. Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift. And three, two, one."
Tony," Up two. All right, set that."
Tony," Yeah, everything's... What? "
Tony, Great!
Tony, Great. I'll be right up.
Tony," It is. This is a flight stabilizer. It's completely harmless.  I didn't expect that.  How'd it go? It went that bad, huh?"
Tony," Sure doesn't. Oh, boy."
Tony," Uh-huh. You told me to lay low. That's what I've been doing. I lay low, and you take care of all..."
Tony, This was a board of directors meeting?
Tony, A what?
Tony," Why, 'cause the stocks dipped 40 points? We knew that was gonna happen."
Tony, It doesn't matter. We own the controlling interest in the company.
Tony," I'm being responsible! That's a new direction for me, for the company. I mean, me on the company's behalf being responsible for the way that... This is great. "
Tony, I'll be in the shop.
Tony," No. No, absolutely not."
Tony," This one stays with me. That's it, Obie. Forget it."
Tony, Thank you.
Tony," Good night, Obie. "
